Unnamed: 0,Item,Pronunciation,Phonology,Frequency,Length
12786,perjury,P AH R JH AH R IY,pxrJxri,2.25,7
11789,nutmeg,N AH T M EH G,nxtmEg,0.71,6
14778,retail,R IY T EY L,ritel,2.31,5
18713,university,Y UW N IH V AH R S IH T IY,yunIvxrsIti,23.59,11
19330,wakefulness,W EY K F AH L N EH S,wekfxlnEs,0.08,9
7860,gull,G AH L,gxl,1.1,3
1032,attraction,AH T R AE K SH IH N,xtrAkSIn,6.82,8
16149,slanderous,S L AE N D AH R AH S,slAndxrxs,0.24,9
7834,guffaw,G AH F AO,gxfc,0.06,4
3728,continual,K AH N T IH N Y UW AH L,kxntInyuxl,0.31,10
19857,wrong,R AO NG,rcG,523.1,3
7630,gourmet,G UH R M EY,gUrme,2.18,5
554,amicable,AE M IH K AH B AH L,AmIkxbxl,0.25,8
16588,spite,S P AY T,spYt,7.61,4
1814,bloodroot,B L AH D R UW T,blxdrut,0.12,7
15756,shallowness,SH AE L OW N AH S,SAlonxs,0.1,7
14523,relentlessness,R IH L EH N T L IH S N EH S,rIlEntlIsnEs,0.02,12
16117,skillet,S K IH L AH T,skIlxt,1.22,6
14134,rape,R EY P,rep,16.0,3
17334,survivability,S AH R V AY V AH B IH L IH T IY,sxrvYvxbIlIti,0.06,13
13923,pyre,P AY R,pYr,0.29,3
8373,homemade,HH OW M M EY D,hommed,2.86,6
5918,engages,EH N G EY JH IH Z,EngeJIz,0.41,7
16428,sonogram,S AO N AH G R AE M,scnxgrAm,0.27,8
7542,gleam,G L IY M,glim,0.98,4
8088,haven,HH EY V AH N,hevxn,369.49,5
4232,curve,K AH R V,kxrv,4.61,4
16187,slime,S L AY M,slYm,2.76,4
4058,creativity,K R IY EY T IH V IH T IY,krietIvIti,1.88,10
19040,various,V EH R IY AH S,vErixs,8.94,6
14740,respondent,R IH S P AA N D IH N T,rIspandInt,0.14,10
15274,sanity,S AE N IH T IY,sAnIti,2.73,6
19888,yearning,Y AH R N IH NG,yxrnIG,1.59,6
12308,pacifier,P AE S AH F AY AH R,pAsxfYxr,0.39,8
9058,infallible,IH N F AE L IH B AH L,InfAlIbxl,0.63,9
19242,vitiate,V IH SH IY EY T,vISiet,0.04,6
431,alfresco,AE L F R EH S K OW,AlfrEsko,0.14,8
17002,strife,S T R AY F,strYf,1.67,5
13397,precarious,P R IH K AE R IY AH S,prIkArixs,0.39,9
15227,saline,S EY L IY N,selin,3.43,5
1000,athletic,AE TH L EH T IH K,ATlEtIk,3.86,7
17080,subjectivity,S AH B JH EH K T IH V IH T IY,sxbJEktIvIti,0.12,12
3828,coral,K AO R AH L,kcrxl,2.37,5
11697,nor,N AO R,ncr,35.98,3
1637,beyond,B IY AA N D,biand,43.14,5
12499,partaker,P AA R T EY K AH R,partekxr,0.02,8
3226,coffin,K AO F AH N,kcfxn,9.04,5
12155,outmoded,AW T M OW D IH D,WtmodId,0.16,7
159,acrylic,AH K R IH L IH K,xkrIlIk,0.45,7
18496,uncle,AH NG K AH L,xGkxl,124.06,5
3589,congeal,K AH N JH IY L,kxnJil,0.1,6
1834,blueberry,B L UW B EH R IY,blubEri,2.57,7
12547,pasture,P AE S CH AH R,pAsCxr,1.53,6
5555,dwarf,D W AO R F,dwcrf,3.08,5
10669,matchmaking,M AE CH M EY K IH NG,mACmekIG,0.29,8
5745,elegy,EH L AH JH IY,ElxJi,0.06,5
1212,badge,B AE JH,bAJ,15.25,3
16984,street,S T R IY T,strit,148.18,5
8382,homicide,HH AA M AH S AY D,hamxsYd,15.33,7
2200,brutally,B R UW T AH L IY,brutxli,1.8,7
13426,predictive,P R IY D IH K T IH V,pridIktIv,0.18,9
13700,prophetic,P R AH F EH T IH K,prxfEtIk,0.41,8
31,abolition,AE B AH L IH SH IH N,AbxlISIn,0.2,8
4912,diminution,D IH M AH N UW SH IH N,dImxnuSIn,0.04,9
15341,scabbard,S K AE B AH R D,skAbxrd,0.22,7
12147,outlawry,AW T L AO R IY,Wtlcri,0.04,6
6049,equatorial,IY K W AH T OW R IY AH L,ikwxtorixl,0.33,10
10194,listing,L IH S T IH NG,lIstIG,1.88,6
9824,laborer,L EY B AH R AH R,lebxrxr,0.45,7
710,any,EH N IY,Eni,1099.37,3
6416,fabrication,F AE B R IH K EY SH IH N,fAbrIkeSIn,0.84,10
5639,economical,IY K AH N AA M IH K AH L,ikxnamIkxl,0.33,10
7902,gyro,JH AY R OW,JYro,0.31,4
11200,monasticism,M AH N AE S T IH S IH Z AH M,mxnAstIsIzxm,0.02,12
19103,verdant,V AH R D AH N T,vxrdxnt,0.16,7
7308,gab,G AE B,gAb,0.69,3
17487,takeoff,T EY K AO F,tekcf,2.45,5
16864,stew,S T UW,stu,6.43,3
19259,vociferous,V OW S IH F AH R AH S,vosIfxrxs,0.02,9
3166,coach,K OW CH,koC,47.63,3
672,antagonism,AE N T AE G IH N IH Z AH M,AntAgInIzxm,0.22,11
4506,delectation,D IY L EH K T EY SH IH N,dilEkteSIn,0.06,10
13309,pose,P OW Z,poz,6.8,3
7631,gout,G AW T,gWt,1.39,3
13770,provoke,P R AH V OW K,prxvok,2.49,6
2963,chuck,CH AH K,Cxk,21.49,3
15920,shred,SH R EH D,SrEd,2.94,4
17205,sultry,S AH L T R IY,sxltri,0.27,6
19501,weed,W IY D,wid,11.76,3
18165,transparency,T R AE N S P AE R AH N S IY,trAnspArxnsi,0.1,12
12703,pelt,P EH L T,pElt,0.94,4
2201,brute,B R UW T,brut,3.18,4
13501,prestige,P R EH S T IY ZH,prEstiZ,1.37,7
13622,producing,P R AH D UW S IH NG,prxdusIG,2.78,8
17460,tablet,T AE B L IH T,tAblIt,1.49,6
9791,knightly,N AY T L IY,nYtli,0.18,5
9063,infantile,IH N F AH N T AY L,InfxntYl,0.75,8
7724,grazer,G R EY Z AH R,grezxr,0.31,6
205,adept,AH D EH P T,xdEpt,0.65,5
5483,dubious,D UW B IY AH S,dubixs,1.43,6
6025,epileptic,EH P AH L EH P T IH K,EpxlEptIk,1.2,9
2499,caper,K EY P AH R,kepxr,1.76,5
7905,habit,HH AE B IH T,hAbIt,14.47,5
12342,painful,P EY N F AH L,penfxl,15.16,6
7086,forthright,F OW R TH R AY T,forTrYt,0.67,7
14615,reparation,R EH P AH R EY SH IH N,rEpxreSIn,0.12,9
8623,idiot,IH D IY IH T,IdiIt,66.22,5
15259,sand,S AE N D,sAnd,20.29,4
15499,seagull,S IY G AH L,sigxl,1.22,5
18518,uncontrolled,AH N K AH N T R OW L D,xnkxntrold,0.29,10
4231,curvature,K AH R V AH CH UH R,kxrvxCUr,0.24,8
98,acclimatize,AH K L AY M AH T AY Z,xklYmxtYz,0.02,9
5260,domain,D OW M EY N,domen,2.59,5
10888,merry,M EH R IY,mEri,39.1,4
10964,micron,M AY K R AA N,mYkran,0.06,6
9764,king,K IH NG,kIG,129.25,3
17228,sunburn,S AH N B AH R N,sxnbxrn,0.65,7
16070,sister,S IH S T AH R,sIstxr,180.53,6
679,antelope,AE N T AH L OW P,Antxlop,0.98,7
2208,buckshot,B AH K SH AA T,bxkSat,1.02,6
113,accost,AH K AO S T,xkcst,0.06,5
1745,blame,B L EY M,blem,58.78,4
19444,waxy,W AE K S IY,wAksi,0.39,5
19711,wit,W IH T,wIt,5.92,3
11343,mulch,M AH L CH,mxlC,0.43,4
15777,shark,SH AA R K,Sark,14.98,4
9679,juror,JH UH R AH R,JUrxr,2.57,5
15810,sheeting,SH IY T IH NG,SitIG,0.12,5
5906,endure,EH N D UH R,EndUr,4.41,5
14240,rearm,R IY AA R M,riarm,0.16,5
1417,bead,B IY D,bid,1.12,3
12125,outcast,AW T K AE S T,WtkAst,1.31,6
15909,showcase,SH OW K EY S,Sokes,0.61,5
6725,finding,F AY N D IH NG,fYndIG,37.94,6
10563,manservant,M AE N S AH R V AH N T,mAnsxrvxnt,0.29,10
7982,handsomest,HH AE N S AH M AH S T,hAnsxmxst,0.75,9
17871,tidal,T AY D AH L,tYdxl,1.04,5
12261,overtime,OW V AH R T AY M,ovxrtYm,6.24,7
5717,elder,EH L D AH R,Eldxr,7.04,5
12511,particularly,P AH R T IH K Y AH L AH R L IY,pxrtIkyxlxrli,18.55,13
5656,editing,EH D IH T IH NG,EdItIG,2.12,6
3479,compulsory,K AH M P AH L S AH R IY,kxmpxlsxri,0.73,10
1701,birdie,B AH R D IY,bxrdi,4.96,5
489,aloneness,AH L OW N N EH S,xlonnEs,0.02,7
12289,owner,OW N AH R,onxr,23.24,4
9392,intestine,IH N T EH S T IH N,IntEstIn,1.02,8
5323,doze,D OW Z,doz,0.39,3
3978,covenant,K AH V AH N IH N T,kxvxnInt,6.69,8
4765,devilish,D EH V AH L IH SH,dEvxlIS,0.51,7
8816,impressive,IH M P R EH S IH V,ImprEsIv,16.96,8
532,amazingly,AH M EY Z IH NG L IY,xmezIGli,1.78,8
8256,hex,HH EH K S,hEks,1.29,4
15143,runway,R AH N W EY,rxnwe,5.47,5
17432,synapse,S IH AE P S,sIAps,0.73,5
16839,stepchild,S T EH P CH AY L D,stEpCYld,0.14,8
16716,stalk,S T AO K,stck,1.69,4
16933,storied,S T OW R IY D,storid,0.08,6
288,aeon,IY AH N,ixn,0.49,3
1067,authoritarian,AO TH OW R AH T EH R IY AH N,cTorxtErixn,0.06,11
15522,seaside,S IY S AY D,sisYd,0.65,5
5687,ego,IY G OW,igo,7.49,3
6692,file,F AY L,fYl,44.04,3
231,admiral,AE D M AH R AH L,Admxrxl,16.57,7
3931,counterattack,K AW N T AH R IH T AE K,kWntxrItAk,0.78,10
14174,rattle,R AE T AH L,rAtxl,3.37,5
12586,pattern,P AE T AH R N,pAtxrn,14.47,6
7401,gather,G AE DH AH R,gADxr,15.67,5
6125,eternal,IH T AH R N AH L,Itxrnxl,10.73,7
16905,stockbroker,S T AA K B R OW K AH R,stakbrokxr,1.06,10
16145,slake,S L EY K,slek,0.06,4
18353,turnover,T AH R N OW V AH R,txrnovxr,0.59,8
18200,treat,T R IY T,trit,51.88,4
2049,brashness,B R AE SH N AH S,brASnxs,0.02,7
11872,obviousness,AA B V IY AH S N AH S,abvixsnxs,0.02,9
1979,both,B OW TH,boT,295.33,3
1906,bolster,B OW L S T AH R,bolstxr,0.31,7
18094,tractor,T R AE K T AH R,trAktxr,3.73,7
11820,oasis,OW EY S IH S,oesIs,1.92,5
332,after,AE F T AH R,Aftxr,682.59,5
3627,consciousness,K AA N SH AH S N IH S,kanSxsnIs,8.1,9
14148,rare,R AE R,rAr,21.31,3
156,acrobatic,AE K R AH B AE T IH K,AkrxbAtIk,0.24,9
11224,monotone,M AA N IH T OW N,manIton,0.1,7
4995,discourage,D IH S K AH R IH JH,dIskxrIJ,1.33,8
13428,predigest,P R IY D AY JH EH S T,pridYJEst,0.04,9
2453,cane,K EY N,ken,8.33,3
1642,bicarbonate,B AY K AA R B AH N IH T,bYkarbxnIt,0.73,10
289,aerate,EH R EY T,Eret,0.02,4
6216,exception,IH K S EH P SH IH N,IksEpSIn,8.02,8
16450,sorrel,S AO R AH L,scrxl,0.41,5
4905,dilution,D IH L UW SH AH N,dIluSxn,0.04,7
16153,slapstick,S L AE P S T IH K,slApstIk,0.24,8
3057,classification,K L AE S AH F AH K EY SH IH N,klAsxfxkeSIn,0.73,12
11653,nocturnal,N AA K T AH R N AH L,naktxrnxl,1.22,9
14598,renown,R IH N AW N,rInWn,0.39,5
11045,minister,M IH N IH S T AH R,mInIstxr,18.45,8
3352,commitment,K AH M IH T M AH N T,kxmItmxnt,10.78,9
14657,repressive,R IH P R EH S IH V,rIprEsIv,0.24,8
18250,triumph,T R AY AH M F,trYxmf,4.65,6
12886,pheasant,F EH Z AH N T,fEzxnt,0.8,6
18085,toy,T OY,tO,16.84,2
1000001,toys,T OY S,tOs,16.84,2
1000002,canes,K EY N S,kens,8.33,3
1000003,treats,T R IY T S,trits,51.88,4
1000004,seasides,S IY S AY D S,sisYds,0.65,5
1000005,outcasts,AW T K AE S T S,WtkAsts,1.31,6
1000006,fabrications,F AE B R IH K EY SH IH N S,fAbrIkeSIns,0.84,10
